Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Fatafat Banake do.,UD-1,10043,Epic,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,High,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 10:44 AM,01/Apr/26 10:44 AM,,,Kardo 1,15/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7236c928,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|i0002f:,,,UD Sprint 1,01/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 10:44 AM
WRITE FUNCTIONALITY TEST CASE FOR SOCIAL MEDIA LOGIN,UD-30,10081,Task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:42 PM,01/Apr/26 2:37 PM,01/Apr/26 12:42 PM,,Kardo 1,02/Apr/26 12:00 AM,0,WRITE FUNCTIONALITY TEST CASE FOR SOCIAL MEDIA LOGIN,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9d7ea2f,,,,,,,,,,,,,,,,0|i0008v:,,,UD Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 12:42 PM
USER SHOULD BE ABLE TO LOGIN IN THE APP THROUGH FACEBOOK,UD-31,10083,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:43 PM,01/Apr/26 12:43 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f5d13ea,,,,,,,,,,,,,,,,0|i00093:,,,UD Sprint 1,,,,,,,,,,,,10081,UD-30,WRITE FUNCTIONALITY TEST CASE FOR SOCIAL MEDIA LOGIN,To Do,01/Apr/26 12:43 PM
USER SHOULD BE ABLE TO LOGIN IN THE APP THROUGH GOOGLE,UD-32,10085,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:43 PM,01/Apr/26 12:43 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2cdbf69f,,,,,,,,,,,,,,,,0|i0009b:,,,UD Sprint 1,,,,,,,,,,,,10081,UD-30,WRITE FUNCTIONALITY TEST CASE FOR SOCIAL MEDIA LOGIN,To Do,01/Apr/26 12:43 PM
WRITE FUNCTIONALITY TEST CASE FOR USER LOGIN,UD-38,10096,Task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 2:55 PM,01/Apr/26 3:16 PM,01/Apr/26 3:16 PM,,Kardo 1,03/Apr/26 12:00 AM,0,WRITE FUNCTIONALITY TEST CASE FOR USER LOGIN,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@236adfc8,,,,,,,,,,,,,,,,0|i0009j:,,,UD Sprint 1,03/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 2:55 PM
WRITE TEST CASE FOR EMAIL FEILD,UD-39,10098,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 2:57 PM,01/Apr/26 2:57 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50f6b447,,,,,,,,,,,,,,,,0|i0009r:,,,UD Sprint 1,,,,,,,,,,,,10096,UD-38,WRITE FUNCTIONALITY TEST CASE FOR USER LOGIN,To Do,01/Apr/26 2:57 PM
WRITE TEST CASE FOR PHONE NUMBER FEILD,UD-40,10100,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 2:57 PM,01/Apr/26 2:57 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74c867ea,,,,,,,,,,,,,,,,0|i0009z:,,,UD Sprint 1,,,,,,,,,,,,10096,UD-38,WRITE FUNCTIONALITY TEST CASE FOR USER LOGIN,To Do,01/Apr/26 2:57 PM
WRITE TEST CASE FOR PASSWORD FEILD,UD-41,10102,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 2:58 PM,01/Apr/26 2:58 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5cae0071,,,,,,,,,,,,,,,,0|i000a7:,,,UD Sprint 1,,,,,,,,,,,,10096,UD-38,WRITE FUNCTIONALITY TEST CASE FOR USER LOGIN,To Do,01/Apr/26 2:58 PM
WRITE TEST CASE FOR LOGIN BUTTON,UD-42,10104,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 2:58 PM,01/Apr/26 2:58 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@525f422c,,,,,,,,,,,,,,,,0|i000af:,,,UD Sprint 1,,,,,,,,,,,,10096,UD-38,WRITE FUNCTIONALITY TEST CASE FOR USER LOGIN,To Do,01/Apr/26 2:58 PM
WRITE TEST CASE FOR FORGOT PASSWORD,UD-43,10106,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 2:58 PM,01/Apr/26 2:58 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64ef4a0c,,,,,,,,,,,,,,,,0|i000an:,,,UD Sprint 1,,,,,,,,,,,,10096,UD-38,WRITE FUNCTIONALITY TEST CASE FOR USER LOGIN,To Do,01/Apr/26 2:58 PM
WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE NAVIGATION,UD-44,10139,Task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 9:53 AM,02/Apr/26 10:02 AM,02/Apr/26 10:03 AM,,Kardo 1,06/Apr/26 12:00 AM,0,WRITE FUNCTIONALITY TEST CASE FOR NAVIGATION,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@428f8d06,,,,,,,,,,,,,,,,0|i000av:,,,UD Sprint 1,06/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 9:53 AM
WRITE TEST CASE TO CHECK THE SESSION IS MAINTAINED ,UD-55,10151,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:03 AM,02/Apr/26 10:03 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@651e1b7d,,,,,,,,,,,,,,,,0|i000db:,,,UD Sprint 1,,,,,,,,,,,,10139,UD-44,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE NAVIGATION,To Do,02/Apr/26 10:03 AM
WRITE TEST CASE TO SEE ALL THE FUNCTIONALITIES ON HOME PAGE IS WORKING,UD-56,10153,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:04 AM,02/Apr/26 10:04 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@421bfd4c,,,,,,,,,,,,,,,,0|i000dj:,,,UD Sprint 1,,,,,,,,,,,,10139,UD-44,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE NAVIGATION,To Do,02/Apr/26 10:04 AM
WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE HEADER SECTION,UD-45,10140,Task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 9:54 AM,02/Apr/26 10:04 AM,02/Apr/26 10:04 AM,,Kardo 1,07/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37ee80ac,,,,,,,,,,,,,,,,0|i000b3:,,,UD Sprint 1,07/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 9:54 AM
WRITE TEST CASE TO CHECK BAR ACCEPTS ATLEAST 2 CHARACTERS,UD-57,10155,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:05 AM,02/Apr/26 10:05 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22f0fdac,,,,,,,,,,,,,,,,0|i000dr:,,,UD Sprint 1,,,,,,,,,,,,10140,UD-45,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE HEADER SECTION,To Do,02/Apr/26 10:05 AM
WRITE TEST CASE TO CHECK  SUGGESTED CONTENTS APPEARS,UD-58,10157,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:05 AM,02/Apr/26 10:05 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2134a3e4,,,,,,,,,,,,,,,,0|i000dz:,,,UD Sprint 1,,,,,,,,,,,,10140,UD-45,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE HEADER SECTION,To Do,02/Apr/26 10:05 AM
"WRITE TEST CASE TO CHECK FRO NO RESULT  IT SAYS ""NO COURSE FOUND""",UD-59,10159,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:05 AM,02/Apr/26 10:05 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@582d91e3,,,,,,,,,,,,,,,,0|i000e7:,,,UD Sprint 1,,,,,,,,,,,,10140,UD-45,WRITE FUNCTIONALITY TEST CASE FOR HOME PAGE HEADER SECTION,To Do,02/Apr/26 10:05 AM
WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGEMENT PAGE,UD-46,10141,Task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 9:55 AM,02/Apr/26 9:55 AM,02/Apr/26 10:07 AM,,Kardo 1,08/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5359f3e1,,,,,,,,,,,,,,,,0|i000bb:,,,UD Sprint 1,08/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 9:55 AM
WRITE TEST CASE TO FOR FULL NAME FEILD,UD-60,10161,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:09 AM,02/Apr/26 10:09 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@273c5e08,,,,,,,,,,,,,,,,0|i000ef:,,,UD Sprint 1,,,,,,,,,,,,10141,UD-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGEMENT PAGE,To Do,02/Apr/26 10:09 AM
WRITE TEST CASE TO FOR EMAIL FEILD,UD-61,10163,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:09 AM,02/Apr/26 10:09 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@dcae724,,,,,,,,,,,,,,,,0|i000en:,,,UD Sprint 1,,,,,,,,,,,,10141,UD-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGEMENT PAGE,To Do,02/Apr/26 10:09 AM
WRITE TEST CASE TO FOR MOBILE NUMBER,UD-62,10165,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:09 AM,02/Apr/26 10:09 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22001bf8,,,,,,,,,,,,,,,,0|i000ev:,,,UD Sprint 1,,,,,,,,,,,,10141,UD-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGEMENT PAGE,To Do,02/Apr/26 10:09 AM
WRITE TEST CASE TO FOR PASSWORD,UD-63,10167,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:09 AM,02/Apr/26 10:09 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c43a056,,,,,,,,,,,,,,,,0|i000f3:,,,UD Sprint 1,,,,,,,,,,,,10141,UD-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGEMENT PAGE,To Do,02/Apr/26 10:09 AM
WRITE TEST CASE TO FOR  NEW PASSWORD,UD-64,10169,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:10 AM,02/Apr/26 10:10 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@513f6c71,,,,,,,,,,,,,,,,0|i000fb:,,,UD Sprint 1,,,,,,,,,,,,10141,UD-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGEMENT PAGE,To Do,02/Apr/26 10:10 AM
WRITE TEST CASE TO FOR CONFIRM PASSWORD,UD-65,10171,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:10 AM,02/Apr/26 10:10 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c022281,,,,,,,,,,,,,,,,0|i000fj:,,,UD Sprint 1,,,,,,,,,,,,10141,UD-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGEMENT PAGE,To Do,02/Apr/26 10:10 AM
WRITE TEST CASE TO FOR  UPDATE BUTTON,UD-66,10173,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:10 AM,02/Apr/26 10:10 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4011c38d,,,,,,,,,,,,,,,,0|i000fr:,,,UD Sprint 1,,,,,,,,,,,,10141,UD-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGEMENT PAGE,To Do,02/Apr/26 10:10 AM
WRITE FUNCTIONALITY TEST CASE FOR COURSE LISTING NAVIGATION,UD-47,10142,Task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,02/Apr/26 10:10 AM,,Kardo 1,09/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@276b1c00,,,,,,,,,,,,,,,,0|i000bj:,,,UD Sprint 1,09/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 9:56 AM
WRITE TEST CASE TO CHECK USER IS ABLE TO NAVIGATE FREELY ON THE COURSE LISTING PAGE,UD-67,10175,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:11 AM,02/Apr/26 10:11 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7407e667,,,,,,,,,,,,,,,,0|i000fz:,,,UD Sprint 1,,,,,,,,,,,,10142,UD-47,WRITE FUNCTIONALITY TEST CASE FOR COURSE LISTING NAVIGATION,To Do,02/Apr/26 10:11 AM
WRITE FUNCTIONALITY TEST CASE FORCOURSE CARD LAYOUT,UD-48,10143,Task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,02/Apr/26 10:16 AM,,Kardo 1,10/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@295e1f0f,,,,,,,,,,,,,,,,0|i000br:,,,UD Sprint 1,10/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 9:56 AM
WRITE TEST CASE FOR COURSE THUMBNAIL,UD-68,10177,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:16 AM,02/Apr/26 10:16 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2bec42dc,,,,,,,,,,,,,,,,0|i000g7:,,,UD Sprint 1,,,,,,,,,,,,10143,UD-48,WRITE FUNCTIONALITY TEST CASE FORCOURSE CARD LAYOUT,To Do,02/Apr/26 10:16 AM
WRITE TEST CASE FOR COURSE TITLE ,UD-69,10179,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,02/Apr/26 10:17 AM,02/Apr/26 10:17 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d0a378a,,,,,,,,,,,,,,,,0|i000gf:,,,UD Sprint 1,,,,,,,,,,,,10143,UD-48,WRITE FUNCTIONALITY TEST CASE FORCOURSE CARD LAYOUT,To Do,02/Apr/26 10:17 AM
